"city";"lat";"long";"country";"iso2";"admin_name";"capital";"population"
Akıncılar;37.7644;38.8231;Turkey;TR;Adıyaman;minor;0
Akıncılar;40.0717;38.3433;Turkey;TR;Sivas;minor;0
Akşar;38.1;42.5333;Turkey;TR;Bitlis;minor;0
Akşar;40.6465;42.3391;Turkey;TR;Erzurum;minor;0
Akşehir;38.3575;31.4164;Turkey;TR;Konya;minor;0
Alaca;40.1683;34.8425;Turkey;TR;Çorum;minor;0
Alacahan;39.1067;37.5756;Turkey;TR;Sivas;minor;0
Alacakaya;38.4575;39.8596;Turkey;TR;Diyarbakır;minor;0
Aladağ;37.5485;35.396;Turkey;TR;Adana;minor;0
Alagir;43.0417;44.2106;Russia;RU;North Ossetia;minor;20043
Alajärvi;63.0;23.8167;Finland;FI;Etelä-Pohjanmaa;minor;10006
Alakurtti;66.9672;30.3383;Russia;RU;Murmanskaya Oblast’;"";3424
Alandskoye;52.2258;59.7952;Russia;RU;Orenburgskaya Oblast’;"";1349
Alanya;36.5436;31.9997;Turkey;TR;Antalya;minor;312319
Alapayevsk;57.85;61.7;Russia;RU;Sverdlovskaya Oblast’;"";37526
Alaplı;41.1814;31.3851;Turkey;TR;Zonguldak;minor;0
Alatskivi;58.5981;27.1336;Estonia;EE;Tartumaa;minor;0
Alatyr;54.85;46.5833;Russia;RU;Chuvashiya;"";11086
Alavieska;64.1667;24.3083;Finland;FI;Pohjois-Pohjanmaa;minor;2687
Alavus;62.5861;23.6194;Finland;FI;Etelä-Pohjanmaa;minor;12044
Alaçam;41.61;35.595;Turkey;TR;Samsun;minor;0
Alaçatı;38.2825;26.3746;Turkey;TR;İzmir;minor;0
Alaşehir;38.3508;28.5172;Turkey;TR;Manisa;minor;0
Albayrak;38.1425;44.2012;Turkey;TR;Van;minor;0
Alchevsk;48.4672;38.7983;Ukraine;UA;Luhans’ka Oblast’;minor;105398
Aldan;58.6;125.3833;Russia;RU;Sakha (Yakutiya);"";20595
Aleksandriya;45.0947;43.2456;Russia;RU;Stavropol’skiy Kray;"";3558
Aleksandrov;56.3936;38.715;Russia;RU;Vladimirskaya Oblast’;"";59328
Aleksandrov Gay;50.1333;48.55;Russia;RU;Saratovskaya Oblast’;"";9728
Aleksandrovka;46.7831;38.9986;Russia;RU;Rostovskaya Oblast’;"";4744
Aleksandrovka;52.6792;54.4156;Russia;RU;Orenburgskaya Oblast’;"";3988
Aleksandrovka;53.3557;49.4721;Russia;RU;Samarskaya Oblast’;"";2177
Aleksandrovka;54.559;72.7537;Russia;RU;Omskaya Oblast’;"";1284
Aleksandrovka-Donskaya;50.5164;40.0727;Russia;RU;Voronezhskaya Oblast’;"";1533
Aleksandrovsk;59.1667;57.5833;Russia;RU;Permskiy Kray;"";12222
Aleksandrovsk-Sakhalinskiy;50.9;142.15;Russia;RU;Sakhalinskaya Oblast’;"";9504
Aleksandrovskiy Zavod;50.9244;117.9361;Russia;RU;Zabaykal’skiy Kray;"";2482
Aleksandrovskoye;60.4286;77.8658;Russia;RU;Tomskaya Oblast’;"";6721
Alekseyevka;50.6333;38.6833;Russia;RU;Belgorodskaya Oblast’;"";38329
Alekseyevka;52.2278;46.3403;Russia;RU;Saratovskaya Oblast’;"";2165
Alekseyevka;53.5522;61.4583;Russia;RU;Chelyabinskaya Oblast’;"";1013
Alekseyevskoye;45.2056;43.5819;Russia;RU;Stavropol’skiy Kray;"";1705
Aleksin;54.5;37.0667;Russia;RU;Tul’skaya Oblast’;"";57892
Aleysk;52.5;82.7833;Russia;RU;Altayskiy Kray;"";28528
Alga;49.9032;57.335;Kazakhstan;KZ;Aqtöbe;"";28267
Algatuy;54.3942;100.1939;Russia;RU;Irkutskaya Oblast’;"";1210
Aliağa;38.7998;26.972;Turkey;TR;İzmir;minor;95392
Alikovo;55.7358;46.7356;Russia;RU;Chuvashiya;"";3023
Alkhan-Kala;43.2586;45.5392;Russia;RU;Chechnya;"";12340
Alkhan-Yurt;43.2317;45.5722;Russia;RU;Chechnya;"";9783
Alkhazurovo;43.0628;45.6511;Russia;RU;Chechnya;"";5534
Alle;47.4257;7.1291;Switzerland;CH;Jura;"";1849
Alleroy;43.2172;46.2822;Russia;RU;Chechnya;"";13405
Alliku;59.3558;24.5561;Estonia;EE;Harjumaa;"";1651
Allschwil;47.5508;7.5358;Switzerland;CH;Basel-Landschaft;"";21150
Almak;42.9883;46.5764;Russia;RU;Dagestan;"";2260
Almaty;43.25;76.9;Kazakhstan;KZ;Almaty;"";1916822
Almazna;48.5167;38.5833;Ukraine;UA;Luhans’ka Oblast’;"";4301
Almetyevsk;54.9;52.3;Russia;RU;Tatarstan;"";154262
Almus;40.3758;36.9044;Turkey;TR;Tokat;minor;0
Alnashi;56.1874;52.4792;Russia;RU;Udmurtiya;"";5964
Aloja;57.7669;24.8828;Latvia;LV;Alojas Novads;admin;1091
Alpatovo;43.7028;45.2417;Russia;RU;Chechnya;"";4861
Alpköy;39.6139;39.1864;Turkey;TR;Erzincan;minor;0
Alpnach;46.9499;8.2309;Switzerland;CH;Obwalden;"";6031
Alpu;39.769;30.9606;Turkey;TR;Eskişehir;minor;0
Alsunga;56.9803;21.5667;Latvia;LV;Alsungas Novads;admin;684
Altdorf;46.8806;8.6394;Switzerland;CH;Uri;admin;9401
Altendorf;47.1922;8.83;Switzerland;CH;Schwyz;"";7081
Alterswil;46.7926;7.2638;Switzerland;CH;Fribourg;"";2028
Altishofen;47.1997;7.9667;Switzerland;CH;Luzern;"";1577
Altnau;47.6073;9.2612;Switzerland;CH;Thurgau;"";2208
Altstätten;47.378;9.5488;Switzerland;CH;Sankt Gallen;minor;11730
Altud;43.7181;43.8722;Russia;RU;Kabardino-Balkariya;"";5554
Altunhisar;37.9916;34.3733;Turkey;TR;Niğde;minor;0
Altındağ;39.9477;32.8639;Turkey;TR;Ankara;minor;0
Altınekin;38.2408;32.8153;Turkey;TR;Konya;minor;0
Altınoluk;39.582300000000004;26.7394;Turkey;TR;Balıkesir;minor;0
Altınova;39.2173;26.7901;Turkey;TR;Balıkesir;minor;0
Altınova;40.6949;29.509900000000002;Turkey;TR;Yalova;minor;0
Altıntaş;39.0597;30.1092;Turkey;TR;Kütahya;minor;0
Altınyaka;36.5586;30.3483;Turkey;TR;Antalya;minor;0
Altınyayla;36.9972;29.5458;Turkey;TR;Burdur;minor;0
Altınyayla;39.2725;36.751;Turkey;TR;Sivas;minor;0
Altınözü;36.1155;36.2483;Turkey;TR;Hatay;minor;0
Alucra;40.3166;38.7528;Turkey;TR;Giresun;minor;0
Alushta;44.6672;34.3978;Ukraine;UA;Krym, Avtonomna Respublika;"";29668
Alzamay;55.55;98.6667;Russia;RU;Irkutskaya Oblast’;"";5908
Alıcık;40.8027;35.3226;Turkey;TR;Amasya;minor;0
Alūksne;57.4239;27.0503;Latvia;LV;Alūksnes Novads;admin;6535
Al’khowka;54.8069;26.2325;Belarus;BY;Hrodzyenskaya Voblasts’;"";1160
Al’mukhametovo;53.0208;58.7286;Russia;RU;Bashkortostan;"";2637
Amasra;41.7463;32.3863;Turkey;TR;Bartın;minor;0
Amasya;40.65;35.8333;Turkey;TR;Amasya;admin;149084
Amden;47.1489;9.1408;Switzerland;CH;Sankt Gallen;"";1782
Amga;60.8972;131.9806;Russia;RU;Sakha (Yakutiya);"";6626
Amriswil;47.5497;9.3;Switzerland;CH;Thurgau;"";13534
Amursk;50.2167;136.9;Russia;RU;Khabarovskiy Kray;"";40106
Amvrosiivka;47.7958;38.4801;Ukraine;UA;Donets’ka Oblast’;"";18413
Amzya;56.2347;54.385;Russia;RU;Bashkortostan;"";4993
Anadyr;64.7333;177.5167;Russia;RU;Chukotskiy Avtonomnyy Okrug;admin;15604
Anamur;36.0751;32.8369;Turkey;TR;Mersin;minor;0
Ananiv;47.7225;29.96;Ukraine;UA;Odes’ka Oblast’;"";8077
Anapa;44.8944;37.3167;Russia;RU;Krasnodarskiy Kray;minor;81447
Andelfingen;47.5947;8.6789;Switzerland;CH;Zürich;"";2201
Andermatt;46.6205;8.6314;Switzerland;CH;Uri;"";1390
Andreapol;56.65;32.2667;Russia;RU;Tverskaya Oblast’;"";7079
Andreyevka;54.1478;48.8406;Russia;RU;Ul’yanovskaya Oblast’;"";1115
Andreyewshchyna;54.5672;30.4522;Belarus;BY;Vitsyebskaya Voblasts’;"";1091
Andriievo-Ivanivka;47.5008;30.4633;Ukraine;UA;Odes’ka Oblast’;"";1692
Andriivka;47.1026;36.5871;Ukraine;UA;Zaporiz’ka Oblast’;"";2755
Andriivka;44.8161;33.5635;Ukraine;UA;Sevastopol’, Misto;"";1498
Andriivka;46.22;30.0825;Ukraine;UA;Odes’ka Oblast’;"";1203
Andrushivka;50.0167;29.0167;Ukraine;UA;Zhytomyrs’ka Oblast’;"";8606
Andrushivka;49.36;29.2025;Ukraine;UA;Vinnyts’ka Oblast’;"";1104
Andrushky;49.8731;29.3433;Ukraine;UA;Zhytomyrs’ka Oblast’;"";2014
Andwil;47.4406;9.281;Switzerland;CH;Sankt Gallen;"";2014
Andırın;37.5776;36.3549;Turkey;TR;Kahramanmaraş;minor;0
Angarsk;52.5667;103.9167;Russia;RU;Irkutskaya Oblast’;"";226374
Angasak;55.6333;54.8;Russia;RU;Bashkortostan;"";1850
Aniskino;55.9417;38.15;Russia;RU;Moskovskaya Oblast’;"";9208
Aniva;46.7167;142.5167;Russia;RU;Sakhalinskaya Oblast’;"";9445
Anières;46.2667;6.2167;Switzerland;CH;Genève;"";2402
Ankara;39.93;32.85;Turkey;TR;Ankara;primary;5503985
Ansalta;42.7;46.1;Russia;RU;Dagestan;"";4598
Antalya;36.9081;30.6956;Turkey;TR;Antalya;admin;2426356
Antipayuta;69.1;76.8667;Russia;RU;Yamalo-Nenetskiy Avtonomnyy Okrug;"";2657
Antipovka;49.83;45.3122;Russia;RU;Volgogradskaya Oblast’;"";2724
Antonivka;48.5286;28.4314;Ukraine;UA;Vinnyts’ka Oblast’;"";1488
Antonovka;63.2867;118.402;Russia;RU;Sakha (Yakutiya);"";2642
Anton’yevka;51.9961;83.974;Russia;RU;Altayskiy Kray;"";1456
Antratsyt;48.1167;39.0833;Ukraine;UA;Luhans’ka Oblast’;"";54640
Antsla;57.8292;26.5289;Estonia;EE;Võrumaa;minor;1352
Anuchino;43.9567;133.0594;Russia;RU;Primorskiy Kray;"";4462
Anysiv;51.4356;31.3611;Ukraine;UA;Chernihivs’ka Oblast’;"";1441
Anzhero-Sudzhensk;56.0833;86.0333;Russia;RU;Kemerovskaya Oblast’;"";76217
Apatity;67.5675;33.393299999999996;Russia;RU;Murmanskaya Oblast’;"";55713
Ape;57.5392;26.6928;Latvia;LV;Apes Novads;admin;808
Apostolove;47.6595;33.717;Ukraine;UA;Dnipropetrovs’ka Oblast’;minor;13792
Appenzell;47.3306;9.4086;Switzerland;CH;Appenzell Innerrhoden;admin;5649
Apples;46.55;6.4333;Switzerland;CH;Vaud;"";1468
Apsheronsk;44.4608;39.7406;Russia;RU;Krasnodarskiy Kray;minor;39762
Apsua;44.45;41.7936;Russia;RU;Karachayevo-Cherkesiya;"";1006
Aqsū;52.0333;76.9167;Kazakhstan;KZ;Pavlodar;"";69354
Aqtaū;43.65;51.15;Kazakhstan;KZ;Mangghystaū;admin;183350
Aqtöbe;50.3;57.1667;Kazakhstan;KZ;Aqtöbe;admin;387807
Araban;37.4267;37.689;Turkey;TR;Gaziantep;minor;0
Aradíppou;34.9478;33.5881;Cyprus;CY;Lárnaka;"";19199
Araklı;40.9385;40.0584;Turkey;TR;Trabzon;minor;0
Aral;46.8;61.6667;Kazakhstan;KZ;Qyzylorda;"";29887
Aralık;39.8728;44.5192;Turkey;TR;Adıyaman;minor;0
Aramil;56.7;60.8333;Russia;RU;Sverdlovskaya Oblast’;"";15236
Arapgir;39.0412;38.4952;Turkey;TR;Malatya;minor;0
Aras;39.9882;42.3063;Turkey;TR;Erzurum;minor;0
Araç;41.2422;33.3277;Turkey;TR;Kastamonu;minor;0
Arbaz;46.2667;7.3833;Switzerland;CH;Valais;"";1280
Arbon;47.5167;9.4333;Switzerland;CH;Thurgau;"";14537
Arbuzynka;47.9067;31.3131;Ukraine;UA;Mykolayivs’ka Oblast’;minor;0
Arch;47.1679;7.4326;Switzerland;CH;Bern;"";1592
Ardahan;41.1167;42.7;Turkey;TR;Ardahan;admin;42226
Ardanuç;41.1233;42.0647;Turkey;TR;Artvin;minor;12056
Ardeşen;41.1911;40.9875;Turkey;TR;Rize;minor;0
Ardon;46.2;7.25;Switzerland;CH;Valais;"";3212
Ardon;43.1667;44.2833;Russia;RU;North Ossetia;"";19412
Argayash;55.4889;60.8767;Russia;RU;Chelyabinskaya Oblast’;"";10293
Argun;43.3;45.8667;Russia;RU;Chechnya;"";37373
Arguvan;38.7738;38.2633;Turkey;TR;Malatya;minor;0
Argıthanı;38.2926;31.7145;Turkey;TR;Konya;minor;0
Arhavi;41.3531;41.31;Turkey;TR;Artvin;minor;20565
Arifiye;40.7004;30.3508;Turkey;TR;Sakarya;minor;0
Arisdorf;47.5128;7.765;Switzerland;CH;Basel-Landschaft;"";1638
Aristau;47.2856;8.3624;Switzerland;CH;Aargau;"";1498
Arkadak;51.9333;43.5;Russia;RU;Saratovskaya Oblast’;"";11895
Arkaulovo;55.3986;57.9256;Russia;RU;Bashkortostan;"";1439
Arkhangelsk;64.55;40.5333;Russia;RU;Arkhangel’skaya Oblast’;admin;351488
Arkhangelskoye;54.4039;56.7797;Russia;RU;Bashkortostan;"";5819
Arkhangelskoye;54.4292;48.6544;Russia;RU;Ul’yanovskaya Oblast’;"";3370
Arkhangel’skoye;44.6186;44.0931;Russia;RU;Stavropol’skiy Kray;"";4935
Arkhanhelska Sloboda;46.635;33.7047;Ukraine;UA;Khersons’ka Oblast’;"";1136
Arkhipo-Osipovka;44.363;38.5337;Russia;RU;Krasnodarskiy Kray;"";7853
Arkhipovka;50.21;39.41;Russia;RU;Voronezhskaya Oblast’;"";1336
Arlesheim;47.4922;7.6203;Switzerland;CH;Basel-Landschaft;"";9202
Armavir;45.0;41.1167;Russia;RU;Krasnodarskiy Kray;"";190709
Armizonskoye;55.9461;67.6736;Russia;RU;Tyumenskaya Oblast’;"";4776
Armutlu;40.5194;28.8281;Turkey;TR;Yalova;minor;0
Armutlu;39.5756;38.4272;Turkey;TR;Erzincan;minor;0
Arni;47.3192;8.4222;Switzerland;CH;Aargau;"";1843
Arosa;46.7831;9.6831;Switzerland;CH;Graubünden;"";3185
Arpaçay;40.8452;43.3275;Turkey;TR;Kars;minor;0
Arsenyev;44.1667;133.2667;Russia;RU;Primorskiy Kray;"";52471
Arshty;43.1391;45.1294;Russia;RU;Ingushetiya;"";1462
Arsin;40.9527;39.9267;Turkey;TR;Trabzon;minor;0
Arsk;56.0906;49.8764;Russia;RU;Tatarstan;"";20540
Arslanköy;37.0188;34.2874;Turkey;TR;Mersin;minor;0
Arsuz;36.4131;35.8903;Turkey;TR;Hatay;minor;0
Artemivsk;48.4403;38.7422;Ukraine;UA;Luhans’ka Oblast’;"";7506
Arth;47.0644;8.5242;Switzerland;CH;Schwyz;"";11983
Artova;40.1158;36.3001;Turkey;TR;Tokat;minor;0
Artsyz;45.9833;29.4167;Ukraine;UA;Odes’ka Oblast’;minor;0
Artvin;41.1822;41.8194;Turkey;TR;Artvin;admin;35081
Artëm;43.35;132.1833;Russia;RU;Primorskiy Kray;"";106692
Artëmovsk;54.35;93.4333;Russia;RU;Krasnoyarskiy Kray;"";1688
Artëmovskiy;57.3667;61.8667;Russia;RU;Sverdlovskaya Oblast’;"";30778
Aruküla;59.3669;25.0762;Estonia;EE;Harjumaa;minor;0
Arys;42.4297;68.8046;Kazakhstan;KZ;Ongtüstik Qazaqstan;"";40707
Arzamas;55.3833;43.8;Russia;RU;Nizhegorodskaya Oblast’;"";104547
Arzgir;45.3736;44.2208;Russia;RU;Stavropol’skiy Kray;"";14722
Arıcak;38.5634;40.1248;Turkey;TR;Elazığ;minor;0
Arıt;41.6871;32.624;Turkey;TR;Bartın;minor;0
Asarcık;41.0356;36.2356;Turkey;TR;Samsun;minor;0
Asbest;57.0;61.4667;Russia;RU;Sverdlovskaya Oblast’;"";64091
Ascona;46.15;8.7667;Switzerland;CH;Ticino;"";5534
Asen’yevskoye;55.1229;36.3045;Russia;RU;Kaluzhskaya Oblast’;"";2080
Asha;55.0;57.25;Russia;RU;Chelyabinskaya Oblast’;"";29692
Ashaga-Stal;41.7;48.2;Russia;RU;Dagestan;"";2849
Ashaga-Stal-Kazmalyar;41.6814;48.2183;Russia;RU;Dagestan;"";2978
Ashaga-Yarak;41.8231;47.9525;Russia;RU;Dagestan;"";1329
Ashmyany;54.425;25.9375;Belarus;BY;Hrodzyenskaya Voblasts’;minor;16966
Ashukino;56.1667;37.95;Russia;RU;Moskovskaya Oblast’;"";9544
Asino;57.0;86.15;Russia;RU;Tomskaya Oblast’;"";24354
Asipovichy;53.3;28.65;Belarus;BY;Mahilyowskaya Voblasts’;minor;29981
Askaniia-Nova;46.4511;33.8683;Ukraine;UA;Khersons’ka Oblast’;"";2741
Askarovo;53.3333;58.5167;Russia;RU;Bashkortostan;"";7634
Askino;56.0869;56.5792;Russia;RU;Bashkortostan;"";6918
Askola;60.5278;25.6;Finland;FI;Uusimaa;minor;5104
Aslanapa;39.2158;29.8699;Turkey;TR;Kütahya;minor;0
Assab;42.4694;46.4994;Russia;RU;Dagestan;"";1669
Assens;46.6178;6.6274;Switzerland;CH;Vaud;"";1077
Assokolay;44.845;39.4681;Russia;RU;Adygeya;"";1442
Astara;38.44;48.875;Azerbaijan;AZ;Astara;admin;16800
Astrakhan;46.3333;48.0167;Russia;RU;Astrakhanskaya Oblast’;admin;532504
Astravyets;54.6136;25.9553;Belarus;BY;Hrodzyenskaya Voblasts’;minor;14147
Asyanovo;55.4444;54.7192;Russia;RU;Bashkortostan;"";1479
Atabey;37.9508;30.6386;Turkey;TR;Isparta;minor;0
Atbasar;51.8;68.3667;Kazakhstan;KZ;Aqmola;"";29733
Atburgazı;37.6364;27.2461;Turkey;TR;Aydın;minor;0
Atemar;54.1819;45.4053;Russia;RU;Mordoviya;"";4078
Athíenou;35.0618;33.5417;Cyprus;CY;Lárnaka;"";4996
Atkaracalar;40.8159;33.0756;Turkey;TR;Çankırı;minor;0
Atkarsk;51.8667;45.0;Russia;RU;Saratovskaya Oblast’;"";25140
Attalens;46.5167;6.85;Switzerland;CH;Fribourg;"";3521
Attinghausen;46.8611;8.6281;Switzerland;CH;Uri;"";1725
Attiswil;47.2472;7.6135;Switzerland;CH;Bern;"";1504
Atyraū;47.1167;51.8833;Kazakhstan;KZ;Atyraū;admin;163221
Atça;37.8858;28.2156;Turkey;TR;Aydın;minor;0
Au;47.4331;9.6333;Switzerland;CH;Sankt Gallen;"";7788
Aubonne;46.5;6.3833;Switzerland;CH;Vaud;"";3241
Auce;56.4611;22.8942;Latvia;LV;Auces Novads;admin;2236
Auenstein;47.4178;8.1358;Switzerland;CH;Aargau;"";1581
Augst;47.535;7.7128;Switzerland;CH;Aargau;"";1024
Augšlīgatne;57.1869;25.0361;Latvia;LV;Līgatnes Novads;"";1435
Auly;48.5575;34.4628;Ukraine;UA;Dnipropetrovs’ka Oblast’;"";4127
Aura;60.6472;22.5903;Finland;FI;Varsinais-Suomi;minor;3991
Auvernier;46.9763;6.8783;Switzerland;CH;Neuchâtel;"";1559
Auw;47.2122;8.3664;Switzerland;CH;Aargau;"";2157
Avadan;41.9317;48.3356;Russia;RU;Dagestan;"";2871
Avanos;38.715;34.8467;Turkey;TR;Nevşehir;minor;0
Avdiivka;48.1333;37.75;Ukraine;UA;Donets’ka Oblast’;"";34938
Avdon;54.669200000000004;55.7164;Russia;RU;Bashkortostan;"";5263
Avenches;46.88;7.0398;Switzerland;CH;Vaud;"";4292
Averyanovka;43.8477;46.7547;Russia;RU;Dagestan;"";3532
Aviatorske;48.3664;35.083;Ukraine;UA;Dnipropetrovs’ka Oblast’;"";2438
Avry-sur-Matran;46.7833;7.0667;Switzerland;CH;Fribourg;"";1921
Avtury;43.1667;46.0;Russia;RU;Chechnya;"";17970
Avully;46.1675;5.9985;Switzerland;CH;Genève;"";1756
Avusy;46.15;5.9833;Switzerland;CH;Genève;"";1416
Ayagöz;47.9645;80.4344;Kazakhstan;KZ;Shyghys Qazaqstan;"";41593
Ayancık;41.95;34.5833;Turkey;TR;Sinop;minor;23720
Ayaş;40.0154;32.3325;Turkey;TR;Ankara;minor;0
Aybastı;40.6867;37.3992;Turkey;TR;Ordu;minor;0
Aydın;37.8481;27.8453;Turkey;TR;Aydın;admin;191037
Aydıncık;36.1667;33.35;Turkey;TR;Mersin;minor;11088
Aydıncık;40.1273;35.2877;Turkey;TR;Yozgat;minor;0
Aydınlar;38.622;38.5405;Turkey;TR;Elazığ;minor;0
Aydıntepe;40.3833;40.1427;Turkey;TR;Bayburt;minor;0
Ayent;46.328;7.4103;Switzerland;CH;Valais;"";4059
Ayrancı;37.3613;33.6883;Turkey;TR;Karaman;minor;0
Ayvacık;39.6011;26.4047;Turkey;TR;Çanakkale;minor;33568
Ayvacık;40.9911;36.6314;Turkey;TR;Samsun;minor;0
Ayvalık;39.319;26.6954;Turkey;TR;Balıkesir;minor;0
Azdavay;41.6427;33.3;Turkey;TR;Kastamonu;minor;0
Aznakayevo;54.85;53.0667;Russia;RU;Tatarstan;"";34896
